voice_name,voice_type,language
北京小爷（多情感）,zh_male_beijingxiaoye_emo_v2_mars_bigtts,中文
柔美女友（多情感）,zh_female_roumeinvyou_emo_v2_mars_bigtts,中文
阳光青年（多情感）,zh_male_yangguangqingnian_emo_v2_mars_bigtts,中文
魅力女友（多情感）,zh_female_meilinvyou_emo_v2_mars_bigtts,中文
爽快思思（多情感）,zh_female_shuangkuaisisi_emo_v2_mars_bigtts,中文、美式英语
甜心小美（多情感）,zh_female_tianxinxiaomei_emo_v2_mars_bigtts,中文
高冷御姐（多情感）,zh_female_gaolengyujie_emo_v2_mars_bigtts,中文
傲娇霸总（多情感）,zh_male_aojiaobazong_emo_v2_mars_bigtts,中文
广州德哥（多情感）,zh_male_guangzhoudege_emo_mars_bigtts,中文
京腔侃爷（多情感）,zh_male_jingqiangkanye_emo_mars_bigtts,中文
邻居阿姨（多情感）,zh_female_linjuayi_emo_v2_mars_bigtts,中文
优柔公子（多情感）,zh_male_yourougongzi_emo_v2_mars_bigtts,中文
儒雅男友（多情感）,zh_male_ruyayichen_emo_v2_mars_bigtts,中文
俊朗男友（多情感）,zh_male_junlangnanyou_emo_v2_mars_bigtts,中文
冷酷哥哥（多情感）,zh_male_lengkugege_emo_v2_mars_bigtts,中文
Tina老师,zh_female_yingyujiaoyu_mars_bigtts,中、英式英语
暖阳女声,zh_female_kefunvsheng_mars_bigtts,仅中文
甜美桃子,zh_female_tianmeitaozi_mars_bigtts,中文
灿灿/Shiny,zh_female_cancan_mars_bigtts,中文、美式英语
清新女声,zh_female_qingxinnvsheng_mars_bigtts,中文
爽快思思/Skye,zh_female_shuangkuaisisi_moon_bigtts,中文、美式英语
温暖阿虎/Alvin,zh_male_wennuanahu_moon_bigtts,中文、美式英语
少年梓辛/Brayan,zh_male_shaonianzixin_moon_bigtts,中文、美式英语
知性女声,zh_female_zhixingnvsheng_mars_bigtts,中文
清爽男大,zh_male_qingshuangnanda_mars_bigtts,中文
邻家女孩,zh_female_linjianvhai_moon_bigtts,中文
渊博小叔,zh_male_yuanboxiaoshu_moon_bigtts,中文
阳光青年,zh_male_yangguangqingnian_moon_bigtts,中文
甜美小源,zh_female_tianmeixiaoyuan_moon_bigtts,中文
清澈梓梓,zh_female_qingchezizi_moon_bigtts,中文
解说小明,zh_male_jieshuoxiaoming_moon_bigtts,中文
开朗姐姐,zh_female_kailangjiejie_moon_bigtts,中文
邻家男孩,zh_male_linjiananhai_moon_bigtts,中文
甜美悦悦,zh_female_tianmeiyueyue_moon_bigtts,中文
心灵鸡汤,zh_female_xinlingjitang_moon_bigtts,中文
知性温婉,ICL_zh_female_zhixingwenwan_tob,中文
暖心体贴,ICL_zh_male_nuanxintitie_tob,中文
温柔文雅,ICL_zh_female_wenrouwenya_tob,中文
开朗轻快,ICL_zh_male_kailangqingkuai_tob,中文
活泼爽朗,ICL_zh_male_huoposhuanglang_tob,中文
率真小伙,ICL_zh_male_shuaizhenxiaohuo_tob,中文
温柔小哥,zh_male_wenrouxiaoge_mars_bigtts,中文
亲切女声,zh_female_qinqienvsheng_moon_bigtts,中文
机灵小伙,ICL_zh_male_shenmi_v1_tob,中文
元气甜妹,ICL_zh_female_wuxi_tob,中文
知心姐姐,ICL_zh_female_wenyinvsheng_v1_tob,中文
阳光阿辰,zh_male_qingyiyuxuan_mars_bigtts,中文
快乐小东,zh_male_xudong_conversation_wvae_bigtts,中文
冷酷哥哥,ICL_zh_male_lengkugege_v1_tob,中文
纯澈女生,ICL_zh_female_feicui_v1_tob,中文
初恋女友,ICL_zh_female_yuxin_v1_tob,中文
贴心闺蜜,ICL_zh_female_xnx_tob,中文
温柔白月光,ICL_zh_female_yry_tob,中文
开朗学长,en_male_jason_conversation_wvae_bigtts,中文
魅力苏菲,zh_female_sophie_conversation_wvae_bigtts,中文
贴心妹妹,ICL_zh_female_yilin_tob,中文
Smith,en_male_smith_mars_bigtts,英式英语
Anna,en_female_anna_mars_bigtts,英式英语
Adam,en_male_adam_mars_bigtts,美式英语
Sarah,en_female_sarah_mars_bigtts,澳洲英语
Dryw,en_male_dryw_mars_bigtts,澳洲英语
かずね（和音）/Javier or Álvaro,multi_male_jingqiangkanye_moon_bigtts,日语、西语
はるこ（晴子）/Esmeralda,multi_female_shuangkuaisisi_moon_bigtts,日语、西语
ひろし（広志）/Roberto,multi_male_wanqudashu_moon_bigtts,日语、西语
あけみ（朱美）,multi_female_gaolengyujie_moon_bigtts,日语
Amanda,en_female_amanda_mars_bigtts,美式英语
Jackson,en_male_jackson_mars_bigtts,美式英语
Cartoon Chef,ICL_en_male_cc_sha_v1_tob,美式英语
ひかる（光）,multi_zh_male_youyoujunzi_moon_bigtts,日语
Emily,en_female_emily_mars_bigtts,英式英语
Daniel,zh_male_xudong_conversation_wvae_bigtts,英式英语
Lucas,zh_male_M100_conversation_wvae_bigtts,美式英语
Diana,multi_female_maomao_conversation_wvae_bigtts,西语
Lucía,multi_male_M100_conversation_wvae_bigtts,西语
Sofía,multi_female_sophie_conversation_wvae_bigtts,西语
Daníel,multi_male_xudong_conversation_wvae_bigtts,西语
さとみ（智美）,multi_female_sophie_conversation_wvae_bigtts,日语
まさお（正男）,multi_male_xudong_conversation_wvae_bigtts,日语
つき（月）,multi_female_maomao_conversation_wvae_bigtts,日语
Sophie,zh_female_sophie_conversation_wvae_bigtts,美式英语
Daisy,en_female_dacey_conversation_wvae_bigtts,美式英语
Owen,en_male_charlie_conversation_wvae_bigtts,美式英语
Ethan,ICL_en_male_aussie_v1_tob,澳洲英语
Luna,en_female_sarah_new_conversation_wvae_bigtts,美式英语
Michael,ICL_en_male_michael_tob,美式英语
京腔侃爷/Harmony,zh_male_jingqiangkanye_moon_bigtts,中文-北京口音、英文
湾湾小何,zh_female_wanwanxiaohe_moon_bigtts,中文-台湾口音
湾区大叔,zh_female_wanqudashu_moon_bigtts,中文-广东口音
呆萌川妹,zh_female_daimengchuanmei_moon_bigtts,中文-四川口音
广州德哥,zh_male_guozhoudege_moon_bigtts,中文-广东口音
北京小爷,zh_male_beijingxiaoye_moon_bigtts,中文-北京口音
浩宇小哥,zh_male_haoyuxiaoge_moon_bigtts,中文-青岛口音
广西远舟,zh_male_guangxiyuanzhou_moon_bigtts,中文-广西口音
妹坨洁儿,zh_female_meituojieer_moon_bigtts,中文-长沙口音
豫州子轩,zh_male_yuzhouzixuan_moon_bigtts,中文-河南口音
奶气萌娃,zh_male_naiqimengwa_mars_bigtts,中文
婆婆,zh_female_popo_mars_bigtts,中文
高冷御姐,zh_female_gaolengyujie_moon_bigtts,中文
傲娇霸总,zh_male_aojiaobazong_moon_bigtts,中文
魅力女友,zh_female_meilinvyou_moon_bigtts,中文
深夜播客,zh_male_shenyeboke_moon_bigtts,中文
柔美女友,zh_female_sajiaonvyou_moon_bigtts,中文
撒娇学妹,zh_female_yuanqinvyou_moon_bigtts,中文
东方浩然,zh_male_dongfanghaoran_moon_bigtts,中文
悠悠君子,zh_male_M100_conversation_wvae_bigtts,中文
文静毛毛,zh_female_maomao_conversation_wvae_bigtts,中文
温柔小雅,zh_female_wenrouxiaoya_moon_bigtts,中文
天才童声,zh_male_tiancaitongsheng_mars_bigtts,中文
猴哥,zh_male_sunwukong_mars_bigtts,中文
熊二,zh_male_xionger_mars_bigtts,中文
佩奇猪,zh_female_peiqi_mars_bigtts,中文
武则天,zh_female_wuzetian_mars_bigtts,中文
顾姐,zh_female_gujie_mars_bigtts,中文
樱桃丸子,zh_female_yingtaowanzi_mars_bigtts,中文
广告解说,zh_male_chunhui_mars_bigtts,中文
少儿故事,zh_female_shaoergushi_mars_bigtts,中文
四郎,zh_male_silang_mars_bigtts,中文
磁性解说男声/Morgan,zh_male_jieshuonansheng_mars_bigtts,中文、美式英语
鸡汤妹妹/Hope,zh_female_jitangmeimei_mars_bigtts,中文、美式英语
贴心女声/Candy,zh_female_tiexinnvsheng_mars_bigtts,中文、美式英语
俏皮女声,zh_female_qiaopinvsheng_mars_bigtts,中文
萌丫头/Cutey,zh_female_mengyatou_mars_bigtts,中文、美式英语
懒音绵宝,zh_male_lanxiaoyang_mars_bigtts,中文
亮嗓萌仔,zh_male_dongmanhaimian_mars_bigtts,中文
悬疑解说,zh_male_changtianyi_mars_bigtts,中文
儒雅青年,zh_male_ruyaqingnian_mars_bigtts,中文
霸气青叔,zh_male_baqiqingshu_mars_bigtts,中文
擎苍,zh_male_qingcang_mars_bigtts,中文
活力小哥,zh_male_yangguangqingnian_mars_bigtts,中文
古风少御,zh_female_gufengshaoyu_mars_bigtts,中文
温柔淑女,zh_female_wenroushunv_mars_bigtts,中文
反卷青年,zh_male_fanjuanqingnian_mars_bigtts,中文
双节棍小哥,zh_male_zhoujielun_emo_v2_mars_bigtts,中文-台湾口音 